diffrence,color,mask,illumination,threshold,min_error
3957_007_df.jpg,3957_007_cl.jpg,3957_007_pr.jpg,2218973,83,0
3957_008_df.jpg,3957_008_cl.jpg,3957_008_pr.jpg,2330097,83,0
3957_009_df.jpg,3957_009_cl.jpg,3957_009_pr.jpg,2222075,91,0
3957_010_df.jpg,3957_010_cl.jpg,3957_010_pr.jpg,2136878,70,0
3957_011_df.jpg,3957_011_cl.jpg,3957_011_pr.jpg,2163551,98,0
3957_012_df.jpg,3957_012_cl.jpg,3957_012_pr.jpg,2055612,82,0
3957_013_df.jpg,3957_013_cl.jpg,3957_013_pr.jpg,2244798,96,0
3957_014_df.jpg,3957_014_cl.jpg,3957_014_pr.jpg,2485288,54,0
3957_015_df.jpg,3957_015_cl.jpg,3957_015_pr.jpg,2527314,72,0
3957_016_df.jpg,3957_016_cl.jpg,3957_016_pr.jpg,2293141,67,0
3957_017_df.jpg,3957_017_cl.jpg,3957_017_pr.jpg,2183524,98,0
3957_018_df.jpg,3957_018_cl.jpg,3957_018_pr.jpg,2115751,55,0
3957_019_df.jpg,3957_019_cl.jpg,3957_019_pr.jpg,2338998,103,0
3957_020_df.jpg,3957_020_cl.jpg,3957_020_pr.jpg,2428044,127,0
3957_021_df.jpg,3957_021_cl.jpg,3957_021_pr.jpg,2480356,106,0
3957_022_df.jpg,3957_022_cl.jpg,3957_022_pr.jpg,2481429,83,0
3957_023_df.jpg,3957_023_cl.jpg,3957_023_pr.jpg,2419612,90,24588
3957_024_df.jpg,3957_024_cl.jpg,3957_024_pr.jpg,2257939,76,225192
3957_025_df.jpg,3957_025_cl.jpg,3957_025_pr.jpg,2109192,98,470292
3957_026_df.jpg,3957_026_cl.jpg,3957_026_pr.jpg,2135301,66,337887
3957_027_df.jpg,3957_027_cl.jpg,3957_027_pr.jpg,2242029,86,481656
3957_028_df.jpg,3957_028_cl.jpg,3957_028_pr.jpg,2196816,109,298155
3957_029_df.jpg,3957_029_cl.jpg,3957_029_pr.jpg,2233229,57,1622547
3957_030_df.jpg,3957_030_cl.jpg,3957_030_pr.jpg,1951585,45,1148601
3957_031_df.jpg,3957_031_cl.jpg,3957_031_pr.jpg,1951558,57,1948740
3957_032_df.jpg,3957_032_cl.jpg,3957_032_pr.jpg,2097039,60,2185242
3957_033_df.jpg,3957_033_cl.jpg,3957_033_pr.jpg,2233054,54,1849080
3957_034_df.jpg,3957_034_cl.jpg,3957_034_pr.jpg,2125761,21,1874646
3957_035_df.jpg,3957_035_cl.jpg,3957_035_pr.jpg,2154958,0,1760070
3957_036_df.jpg,3957_036_cl.jpg,3957_036_pr.jpg,2097846,0,1585425
3957_037_df.jpg,3957_037_cl.jpg,3957_037_pr.jpg,2052969,9,1693158
3957_038_df.jpg,3957_038_cl.jpg,3957_038_pr.jpg,1964123,45,2030442
3957_039_df.jpg,3957_039_cl.jpg,3957_039_pr.jpg,1678864,69,2324454
3957_040_df.jpg,3957_040_cl.jpg,3957_040_pr.jpg,1648043,75,1714545
3957_041_df.jpg,3957_041_cl.jpg,3957_041_pr.jpg,1791651,88,892599
3957_042_df.jpg,3957_042_cl.jpg,3957_042_pr.jpg,1973976,11,55332
3957_043_df.jpg,3957_043_cl.jpg,3957_043_pr.jpg,1687585,106,1037988
3957_044_df.jpg,3957_044_cl.jpg,3957_044_pr.jpg,1445583,97,590952
3957_045_df.jpg,3957_045_cl.jpg,3957_045_pr.jpg,1785843,93,1504929
3957_046_df.jpg,3957_046_cl.jpg,3957_046_pr.jpg,1710120,40,2207367
3957_047_df.jpg,3957_047_cl.jpg,3957_047_pr.jpg,1593376,64,1635696
3957_048_df.jpg,3957_048_cl.jpg,3957_048_pr.jpg,1260575,155,119469
3957_049_df.jpg,3957_049_cl.jpg,3957_049_pr.jpg,1294416,162,0
3957_050_df.jpg,3957_050_cl.jpg,3957_050_pr.jpg,1285892,144,0
3957_051_df.jpg,3957_051_cl.jpg,3957_051_pr.jpg,1324440,143,0
3957_052_df.jpg,3957_052_cl.jpg,3957_052_pr.jpg,1384689,140,0
3957_053_df.jpg,3957_053_cl.jpg,3957_053_pr.jpg,1459507,135,0
3957_054_df.jpg,3957_054_cl.jpg,3957_054_pr.jpg,1574700,156,0
3957_055_df.jpg,3957_055_cl.jpg,3957_055_pr.jpg,2169596,90,0
3965_000_df.jpg,3965_000_cl.jpg,3965_000_pr.jpg,2467748,47,0
3965_001_df.jpg,3965_001_cl.jpg,3965_001_pr.jpg,2536680,41,0
